Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Services, value added (annual % growth) [NV.SRV.TOTL.KD.ZG]","Manufacturing, value added (annual % growth) [NV.IND.MANF.KD.ZG]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Poland Base,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Adj YoY Ex Rate
2012,Hungary,-0.828646516,8.305498508,6.229514364,0.642707264,-1.35386271,-1.701496584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.060351833
2013,Hungary,2.524393053,-2.749863953,-2.775303041,3.587853118,-2.06986267,4.07872345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.007279241
2014,Hungary,4.755551698,9.126502233,6.541175083,2.986607514,7.157123084,9.202077568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.004242754
2015,Hungary,4.033108739,-4.36725591,-6.501218883,2.152794996,8.707119762,7.362772084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.02875949
2016,Hungary,2.837490398,53.84676368,51.6782405,3.562135268,0.325487089,3.802219701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.009368061
2017,Hungary,4.477435682,-8.631354962,-10.09532435,4.368790132,3.246186326,6.479729328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.041699976
2018,Hungary,5.821463618,-40.10824602,-42.15117936,6.513125321,2.553316821,4.990492755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.043732739
2019,Hungary,5.208764134,59.57754938,59.57256808,5.183730983,1.917004878,5.457039854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.006773687
2020,Hungary,-4.09730738,105.6357555,103.8005964,-3.049554546,-7.400022877,-6.141894495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.01896499
2021,Hungary,7.662531754,18.28668555,16.10935952,8.737487699,7.025654993,8.272192824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.0071926
2022,Hungary,4.551055711,-1.078320207,-3.354210773,7.521745887,4.086954586,10.65983845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.009890033
2023,Hungary,-0.709301494,-33.09791743,-34.1621776,0.287016416,-4.10851537,1.695520047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.040534946
1996,Latvia,3.458756261,5.713492254,-0.81650631,2.552435196,3.737026041,18.60065583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149815
1997,Latvia,10.2650978,7.470752326,-0.639674329,7.964196727,16.65945789,12.74794359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048155075
1998,Latvia,7.559434383,5.325408444,0.982203765,8.008571161,4.93898626,4.718683412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143815262
1999,Latvia,3.658721772,4.752742114,0.238934177,5.689088533,-4.064652832,-6.349152679,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093384864
2000,Latvia,6.866198613,4.176965677,0.089235415,6.060251749,6.792242856,14.39630481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04276512
2001,Latvia,7.844419566,2.118216,1.028948278,7.171029209,7.144481415,8.674998325,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088050913
2002,Latvia,8.923681512,1.730891758,-0.505194343,6.578702602,11.45520855,4.927277252,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05531775
2003,Latvia,9.48207219,2.816103396,0.763689728,10.02505658,3.216751137,4.1122791,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102070732
2004,Latvia,9.918172996,4.278491065,0.615116447,9.567280543,6.366984094,13.88963808,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059252346
2005,Latvia,12.82794095,4.966330751,1.384299867,14.18273514,5.141973335,23.67740475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.024862366
2006,Latvia,13.86469226,8.346825905,1.039983999,12.37777212,7.407297584,7.451986949,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035938989
2007,Latvia,11.3194013,9.222864096,2.615191762,10.97503167,-0.763737873,13.92130443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05606812
2008,Latvia,-2.368036506,4.201743996,1.004329079,-0.724763706,-7.19108489,2.407098163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008084314
2009,Latvia,-14.6423128,-0.583936207,-0.753840707,-11.17254428,-21.83245532,-12.954454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018665993
2010,Latvia,-1.635143791,2.023934814,0.438144498,-3.330339901,13.95676959,13.61606975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03185098
2011,Latvia,4.929579991,5.717733091,0.405738235,1.838547386,2.146541614,12.46084455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.060251543
2012,Latvia,8.644499586,3.98573894,0.594861324,7.212004389,4.928008409,9.485020209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.089504473
2013,Latvia,3.195451704,3.393521988,1.693986841,2.557144277,-0.788341851,0.659294479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.047354059
2014,Latvia,3.060973817,3.451795315,2.29261439,2.61501851,-1.630970321,6.560652758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.069903882
2015,Latvia,4.636452127,3.085432583,0.546788966,3.114041817,4.425654776,3.055243966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.011579976
2016,Latvia,3.4931864,1.236935052,0.904822331,3.03477562,1.707042511,3.89264632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.005534718
2017,Latvia,4.319358697,4.048800195,1.963716331,2.304719563,6.825466348,6.455424997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.013049375
2018,Latvia,5.125604221,1.320769006,-0.944918168,4.266791346,7.429432225,4.363056933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01015743
2019,Latvia,1.377746126,3.371002667,0.269315461,-0.22770031,1.033823694,-0.570168484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.006570446
2020,Latvia,-2.789963807,2.814135578,0.592187283,-5.169079799,0.76326755,-0.2976248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.008716323
